Department,Date,Job_Number,PR_Number,PO_Number,Vendor,Amount,Amount_Received,Ending_Balance,Receiver_Date
Network Services,Sun Jul 02 2023 00:00:00 GMT-0400 (Eastern Daylight Time),Fuel Services 7/1/2025-6/30/2026,203481891,P0289148,Mansfield,1000,570.09,429.90999999999997,Mon Jul 20 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Mon Jul 13 2026 00:00:00 GMT-0400 (Eastern Daylight Time),Fuel Services 7/1/2025-6/30/2027,218481416,P0346072,Mansfield,1000,153.57999999999998,846.4200000000001,Wed Aug 05 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Wed Jun 18 2025 00:00:00 GMT-0400 (Eastern Daylight Time),202954254,,P0288087,SEGRA,192355.2,185462.21,6892.99000000002,Mon Jun 22 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Mon Feb 09 2026 00:00:00 GMT-0500 (Eastern Standard Time),212052592,,P0321022,Level 3 Financing (Lumen),80537.76,46753.119999999995,33784.64,Fri Sep 04 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Tue Jul 21 2026 00:00:00 GMT-0400 (Eastern Daylight Time),218811028,,P0347391,SEGRA,225055.2,31802.12,193253.08000000002,Thu Aug 20 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Thu May 15 2025 00:00:00 GMT-0400 (Eastern Daylight Time),614606 14th St Deck,201300577,P0282196,C&C Electrical,109829,109779,50,Tue Jun 17 2025 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Thu May 15 2025 00:00:00 GMT-0400 (Eastern Daylight Time),614606 14th St Deck OSP,201591181,P0282267,MASO,381818,381818,0,Thu Jul 30 2026 00:00:00 GMT-0400 (Eastern Daylight Time)
Network Services,Thu May 16 0205 00:00:00 GMT-0456 (Eastern Daylight Time),614605 1th St Deck ISP,201663136,P0282761,Sycom,42344.48,42344.48,0,Mon Jun 30 2025 00:00:00 GMT-0400 (Eastern Daylight Time)
